symbol,etf,price,return_3m,etf_return,relative_excess,status
HAL,IEZ,34.48500061035156,23.9130460111021,27.41348228024407,-3.5004362691419715,⏸️ WATCH
SLB,IEZ,48.11000061035156,26.206720772258063,27.41348228024407,-1.206761507986009,⏸️ WATCH
NOV,IEZ,19.5,19.631907439993988,27.41348228024407,-7.781574840250084,👀 CANDIDATE
NBR,IEZ,77.19499969482422,35.643999124583615,27.41348228024407,8.230516844339544,⏸️ WATCH
RES,IEZ,5.974999904632568,3.1951631087806396,27.41348228024407,-24.21831917146343,🎯 TARGET
OII,IEZ,35.28499984741211,29.533774390203344,27.41348228024407,2.120292109959273,⏸️ WATCH
TDW,IEZ,86.75,45.79831932773109,27.41348228024407,18.38483704748702,⏸️ WATCH
FTI,IEZ,66.2666015625,42.47818523747373,27.41348228024407,15.06470295722966,⏸️ WATCH
NE,IEZ,45.07500076293945,38.56440963541202,27.41348228024407,11.150927355167948,⏸️ WATCH
HP,IEZ,34.22999954223633,13.834386064620235,27.41348228024407,-13.579096215623837,🎯 TARGET
PTEN,IEZ,8.845000267028809,36.496917299291475,27.41348228024407,9.083435019047403,⏸️ WATCH
